article_id,expr_type,value,char_offset
933.txt,deictic,Friday,1870
933.txt,deictic,Friday,2121
934.txt,deictic,Day,275
934.txt,deictic,week,1181
935.txt,deictic,Today,551
935.txt,deictic,year,918
935.txt,deictic,year,1673
935.txt,deictic,year,1685
935.txt,deictic,week,1937
935.txt,deictic,today,2537
935.txt,deictic,today,3090
935.txt,deictic,today,3377
935.txt,deictic,spring,216
936.txt,deictic,year,502
936.txt,deictic,year,802
936.txt,deictic,year,862
936.txt,deictic,autumn,62
936.txt,deictic,spring,421
936.txt,deictic,autumn,890
937.txt,deictic,year,222
937.txt,deictic,year,1171
937.txt,deictic,year,1286
937.txt,deictic,Today,2521
937.txt,deictic,year,2935
937.txt,deictic,Fall,1842
937.txt,deictic,Fall,2031
939.txt,deictic,week,588
939.txt,deictic,week,1645
939.txt,deictic,week,1927
939.txt,deictic,week,2434
939.txt,deictic,spring,663
939.txt,deictic,Monday,2376
939.txt,deictic,Sunday,827
940.txt,simple,17 October 2000,746
940.txt,deictic,year,723
941.txt,deictic,year,892
941.txt,deictic,week,1862
941.txt,deictic,last year,2382
941.txt,deictic,last week,3080
941.txt,deictic,fall,2666
941.txt,deictic,Monday,843
942.txt,deictic,week,379
942.txt,deictic,year,615
942.txt,deictic,Today,1066
942.txt,deictic,week,2189
942.txt,deictic,autumn,2688
943.txt,deictic,week,179
943.txt,deictic,week,1640
943.txt,deictic,year,2222
943.txt,deictic,Thursday,1606
944.txt,deictic,week,942
944.txt,deictic,year,2980
944.txt,deictic,before June,732
944.txt,deictic,Monday,760
945.txt,deictic,last year,1230
945.txt,deictic,Monday,548
946.txt,deictic,year,262
946.txt,deictic,year,396
946.txt,deictic,year,1381
946.txt,deictic,last year,1422
947.txt,deictic,year,325
947.txt,deictic,year,445
947.txt,deictic,Today,1240
947.txt,deictic,Tuesday,2041
950.txt,deictic,last week,840
950.txt,deictic,Monday,2210
950.txt,deictic,Friday,2534
950.txt,deictic,Saturday,2544
951.txt,deictic,year,506
951.txt,deictic,Tuesday,518
952.txt,deictic,Year,226
952.txt,deictic,year,682
952.txt,deictic,Day,828
952.txt,deictic,last week,925
952.txt,deictic,today,1794
953.txt,deictic,week,1412
953.txt,deictic,week,2671
953.txt,deictic,fall,1263
953.txt,deictic,fall,2165
953.txt,deictic,Monday,1275
953.txt,deictic,Tuesday,1589
953.txt,deictic,last Wednesday,944
954.txt,deictic,Today,1330
954.txt,deictic,year,2042
954.txt,deictic,Today,2624
954.txt,deictic,next Monday,2129
954.txt,deictic,Tuesday,581
954.txt,deictic,Wednesday,455
954.txt,deictic,Wednesday,2106
955.txt,deictic,year,2196
955.txt,deictic,year,2402
955.txt,deictic,autumn,3329
957.txt,deictic,week,2642
958.txt,deictic,year,410
959.txt,deictic,year,549
960.txt,simple,2007-2013,1053
962.txt,deictic,year,1208
962.txt,deictic,Sunday,725
962.txt,deictic,Sunday,3078
963.txt,deictic,year,227
963.txt,deictic,year,761
963.txt,deictic,week,1069
963.txt,deictic,year,2540
963.txt,deictic,year,2544
963.txt,deictic,year,2776
963.txt,deictic,Monday,1727
964.txt,deictic,Today,527
964.txt,deictic,next year,1633
964.txt,deictic,Thursday,229
965.txt,deictic,last October,1323
966.txt,deictic,year,299
966.txt,deictic,year,403
966.txt,deictic,Wednesday,1955
967.txt,deictic,week,106
967.txt,deictic,next month,1572
967.txt,deictic,Tuesday,2450
967.txt,deictic,Saturday,812
967.txt,deictic,Sunday,938
968.txt,deictic,Today,2166
968.txt,deictic,Monday,1559
969.txt,deictic,year,254
970.txt,deictic,year,272
972.txt,simple,"25 August, 1938",1231
972.txt,deictic,year,736
972.txt,deictic,year,824
972.txt,deictic,week,1321
972.txt,deictic,year,1428
972.txt,deictic,year,1445
972.txt,deictic,year,2092
972.txt,deictic,year,2285
972.txt,deictic,year,5644
972.txt,deictic,year,5687
972.txt,deictic,today,5776
972.txt,deictic,today,8985
972.txt,deictic,year,9430
972.txt,deictic,today,14426
972.txt,deictic,today,14787
972.txt,deictic,year,15524
972.txt,deictic,year,19999
972.txt,deictic,today,20656
972.txt,deictic,year,24102
972.txt,deictic,winter,1862
973.txt,deictic,Today,1281
974.txt,deictic,Wednesday,2737
975.txt,deictic,Today,1934
975.txt,deictic,spring,88
975.txt,deictic,Friday,1055
975.txt,deictic,Friday,2254
975.txt,deictic,Saturday,1555
975.txt,deictic,Saturday,1945
977.txt,deictic,Today,1456
977.txt,deictic,Today,2741
979.txt,deictic,Monday,777
979.txt,deictic,Tuesday,1351
